"","ModuleNum","NumGenSpe1","NumGenSpe2","SumNumGeneSpe12","Ratio1","Ratio2"
"78",58,1,1,2,0.5,0.5
"79",59,1,1,2,0.5,0.5
"80",61,1,1,2,0.5,0.5
"81",62,1,1,2,0.5,0.5
"82",63,1,1,2,0.5,0.5
"83",64,1,1,2,0.5,0.5
"84",65,1,1,2,0.5,0.5
"85",66,1,1,2,0.5,0.5
"86",67,1,1,2,0.5,0.5
"87",68,1,1,2,0.5,0.5
"88",70,1,1,2,0.5,0.5
"89",71,1,1,2,0.5,0.5
"90",72,1,1,2,0.5,0.5
"91",73,1,1,2,0.5,0.5
"92",74,1,1,2,0.5,0.5
"93",75,1,1,2,0.5,0.5
"94",76,1,1,2,0.5,0.5
"95",77,1,1,2,0.5,0.5
"96",78,1,1,2,0.5,0.5
"97",79,1,1,2,0.5,0.5
"98",80,1,1,2,0.5,0.5
"99",81,1,1,2,0.5,0.5
"100",82,1,1,2,0.5,0.5
"101",83,1,1,2,0.5,0.5
"102",84,1,1,2,0.5,0.5
"103",85,1,1,2,0.5,0.5
"104",86,1,1,2,0.5,0.5
"105",87,1,1,2,0.5,0.5
"106",88,1,1,2,0.5,0.5
"107",89,1,1,2,0.5,0.5
"108",90,1,1,2,0.5,0.5
"109",91,1,1,2,0.5,0.5
"110",92,1,1,2,0.5,0.5
"111",93,1,1,2,0.5,0.5
"112",94,1,1,2,0.5,0.5
"113",95,1,1,2,0.5,0.5
"114",96,1,1,2,0.5,0.5
"115",97,1,1,2,0.5,0.5
"116",98,1,1,2,0.5,0.5
"117",99,1,1,2,0.5,0.5
"118",100,1,1,2,0.5,0.5
"119",101,1,1,2,0.5,0.5
"120",102,1,1,2,0.5,0.5
"121",103,1,1,2,0.5,0.5
"122",105,1,1,2,0.5,0.5
"123",106,1,1,2,0.5,0.5
"124",107,1,1,2,0.5,0.5
"125",108,1,1,2,0.5,0.5
"126",109,1,1,2,0.5,0.5
"127",110,1,1,2,0.5,0.5
"128",111,1,1,2,0.5,0.5
"129",112,1,1,2,0.5,0.5
"130",114,1,1,2,0.5,0.5
"131",115,1,1,2,0.5,0.5
"132",116,1,1,2,0.5,0.5
"133",117,1,1,2,0.5,0.5
"134",118,1,1,2,0.5,0.5
"135",119,1,1,2,0.5,0.5
"136",120,1,1,2,0.5,0.5
"137",121,1,1,2,0.5,0.5
"138",122,1,1,2,0.5,0.5
"139",123,1,1,2,0.5,0.5
"140",124,1,1,2,0.5,0.5
"141",125,1,1,2,0.5,0.5
"142",126,1,1,2,0.5,0.5
"143",128,1,1,2,0.5,0.5
"144",129,1,1,2,0.5,0.5
"145",130,1,1,2,0.5,0.5
"146",131,1,1,2,0.5,0.5
"147",132,1,1,2,0.5,0.5
"148",133,1,1,2,0.5,0.5
"149",134,1,1,2,0.5,0.5
"150",135,1,1,2,0.5,0.5
"151",136,1,1,2,0.5,0.5
"152",137,1,1,2,0.5,0.5
"153",138,1,1,2,0.5,0.5
"154",139,1,1,2,0.5,0.5
"155",140,1,1,2,0.5,0.5
"156",141,1,1,2,0.5,0.5
"157",142,1,1,2,0.5,0.5
"158",143,1,1,2,0.5,0.5
"159",144,1,1,2,0.5,0.5
"160",145,1,1,2,0.5,0.5
"161",146,1,1,2,0.5,0.5
"162",147,1,1,2,0.5,0.5
"163",148,1,1,2,0.5,0.5
"164",149,1,1,2,0.5,0.5
"165",150,1,1,2,0.5,0.5
"166",151,1,1,2,0.5,0.5
"167",152,1,1,2,0.5,0.5
"168",153,1,1,2,0.5,0.5
"169",154,1,1,2,0.5,0.5
"170",155,1,1,2,0.5,0.5
"171",156,1,1,2,0.5,0.5
"172",157,1,1,2,0.5,0.5
"173",158,1,1,2,0.5,0.5
"174",159,1,1,2,0.5,0.5
"175",160,1,1,2,0.5,0.5
"176",161,1,1,2,0.5,0.5
"177",162,1,1,2,0.5,0.5
"178",163,1,1,2,0.5,0.5
"179",164,1,1,2,0.5,0.5
"180",165,1,1,2,0.5,0.5
"181",166,1,1,2,0.5,0.5
"182",167,1,1,2,0.5,0.5
"183",168,1,1,2,0.5,0.5
"184",169,1,1,2,0.5,0.5
"185",170,1,1,2,0.5,0.5
"186",171,1,1,2,0.5,0.5
"187",172,1,1,2,0.5,0.5
"188",173,1,1,2,0.5,0.5
"189",174,1,1,2,0.5,0.5
"190",175,1,1,2,0.5,0.5
"191",176,1,1,2,0.5,0.5
"192",177,1,1,2,0.5,0.5
"193",178,1,1,2,0.5,0.5
"194",179,1,1,2,0.5,0.5
"195",180,1,1,2,0.5,0.5
"196",181,1,1,2,0.5,0.5
"197",182,1,1,2,0.5,0.5
"198",183,1,1,2,0.5,0.5
"199",184,1,1,2,0.5,0.5
"200",185,1,1,2,0.5,0.5
"201",188,1,1,2,0.5,0.5
"202",189,1,1,2,0.5,0.5
"203",190,1,1,2,0.5,0.5
"204",191,1,1,2,0.5,0.5
"205",192,1,1,2,0.5,0.5
"206",194,1,1,2,0.5,0.5
"207",196,1,1,2,0.5,0.5
"208",197,1,1,2,0.5,0.5
"209",198,1,1,2,0.5,0.5
"210",199,1,1,2,0.5,0.5
"211",200,1,1,2,0.5,0.5
"212",201,1,1,2,0.5,0.5
"213",203,1,1,2,0.5,0.5
"214",204,1,1,2,0.5,0.5
"215",205,1,1,2,0.5,0.5
"216",206,1,1,2,0.5,0.5
"217",207,1,1,2,0.5,0.5
"218",208,1,1,2,0.5,0.5
"219",209,1,1,2,0.5,0.5
"220",210,1,1,2,0.5,0.5
"221",211,1,1,2,0.5,0.5
"222",212,1,1,2,0.5,0.5
"223",213,1,1,2,0.5,0.5
"224",214,1,1,2,0.5,0.5
"225",215,1,1,2,0.5,0.5
"226",216,1,1,2,0.5,0.5
"227",217,1,1,2,0.5,0.5
"228",218,1,1,2,0.5,0.5
"229",219,1,1,2,0.5,0.5
"230",220,1,1,2,0.5,0.5
"231",221,1,1,2,0.5,0.5
"232",222,1,1,2,0.5,0.5
"233",223,1,1,2,0.5,0.5
"234",226,1,1,2,0.5,0.5
"235",227,1,1,2,0.5,0.5
"236",228,1,1,2,0.5,0.5
"237",232,1,1,2,0.5,0.5
"238",233,1,1,2,0.5,0.5
"239",234,1,1,2,0.5,0.5
"240",235,1,1,2,0.5,0.5
"241",237,1,1,2,0.5,0.5
"242",238,1,1,2,0.5,0.5
"243",239,0,2,2,0,1
"244",240,1,1,2,0.5,0.5
"245",241,1,1,2,0.5,0.5
"246",242,1,1,2,0.5,0.5
"247",243,1,1,2,0.5,0.5
"248",245,1,1,2,0.5,0.5
"249",246,1,1,2,0.5,0.5
"250",247,1,1,2,0.5,0.5
"251",248,1,1,2,0.5,0.5
"252",249,1,1,2,0.5,0.5
"253",250,1,1,2,0.5,0.5
"254",251,1,1,2,0.5,0.5
"255",252,1,1,2,0.5,0.5
"256",253,1,1,2,0.5,0.5
"257",254,1,1,2,0.5,0.5
"258",255,1,1,2,0.5,0.5
"259",256,1,1,2,0.5,0.5
"260",257,1,1,2,0.5,0.5
"261",258,1,1,2,0.5,0.5
"262",259,1,1,2,0.5,0.5
"263",260,1,1,2,0.5,0.5
"264",261,1,1,2,0.5,0.5
"265",262,1,1,2,0.5,0.5
"266",263,1,1,2,0.5,0.5
"267",264,1,1,2,0.5,0.5
"268",265,1,1,2,0.5,0.5
"269",266,1,1,2,0.5,0.5
"270",267,1,1,2,0.5,0.5
"271",268,1,1,2,0.5,0.5
"272",269,1,1,2,0.5,0.5
"273",270,1,1,2,0.5,0.5
"274",271,1,1,2,0.5,0.5
"275",272,1,1,2,0.5,0.5
"276",273,1,1,2,0.5,0.5
"277",274,1,1,2,0.5,0.5
"278",275,1,1,2,0.5,0.5
"279",276,1,1,2,0.5,0.5
"280",277,1,1,2,0.5,0.5
"281",278,1,1,2,0.5,0.5
"282",279,1,1,2,0.5,0.5
"283",280,1,1,2,0.5,0.5
"284",281,1,1,2,0.5,0.5
"285",282,1,1,2,0.5,0.5
"286",283,1,1,2,0.5,0.5
"287",284,1,1,2,0.5,0.5
"288",285,1,1,2,0.5,0.5
"289",286,1,1,2,0.5,0.5
"290",287,1,1,2,0.5,0.5
"291",288,1,1,2,0.5,0.5
"292",290,1,1,2,0.5,0.5
"293",291,1,1,2,0.5,0.5
"294",292,1,1,2,0.5,0.5
"295",293,1,1,2,0.5,0.5
"296",294,1,1,2,0.5,0.5
"297",295,1,1,2,0.5,0.5
"298",296,1,1,2,0.5,0.5
"299",297,1,1,2,0.5,0.5
"300",298,1,1,2,0.5,0.5
"301",299,1,1,2,0.5,0.5
"302",300,1,1,2,0.5,0.5
"303",302,1,1,2,0.5,0.5
"304",303,1,1,2,0.5,0.5
"305",304,1,1,2,0.5,0.5
"306",305,1,1,2,0.5,0.5
"307",306,1,1,2,0.5,0.5
"308",307,1,1,2,0.5,0.5
"309",308,1,1,2,0.5,0.5
"310",309,1,1,2,0.5,0.5
"311",310,1,1,2,0.5,0.5
"312",311,1,1,2,0.5,0.5
"313",312,1,1,2,0.5,0.5
"314",313,1,1,2,0.5,0.5
"315",314,1,1,2,0.5,0.5
"316",315,1,1,2,0.5,0.5
"317",316,1,1,2,0.5,0.5
"318",317,1,1,2,0.5,0.5
"319",318,1,1,2,0.5,0.5
"320",319,1,1,2,0.5,0.5
"321",320,1,1,2,0.5,0.5
"322",321,1,1,2,0.5,0.5
"323",322,1,1,2,0.5,0.5
"324",323,1,1,2,0.5,0.5
"325",324,1,1,2,0.5,0.5
"326",325,1,1,2,0.5,0.5
"327",326,1,1,2,0.5,0.5
"328",327,1,1,2,0.5,0.5
"329",328,1,1,2,0.5,0.5
"330",329,1,1,2,0.5,0.5
"331",330,1,1,2,0.5,0.5
"332",331,1,1,2,0.5,0.5
"333",332,1,1,2,0.5,0.5
"334",333,1,1,2,0.5,0.5
"335",334,1,1,2,0.5,0.5
"336",335,1,1,2,0.5,0.5
"337",336,1,1,2,0.5,0.5
"338",337,1,1,2,0.5,0.5
"339",338,1,1,2,0.5,0.5
"340",339,1,1,2,0.5,0.5
"341",340,1,1,2,0.5,0.5
"342",342,1,1,2,0.5,0.5
"343",343,1,1,2,0.5,0.5
"344",344,1,1,2,0.5,0.5
"345",345,1,1,2,0.5,0.5
"346",346,1,1,2,0.5,0.5
"347",347,1,1,2,0.5,0.5
"348",348,1,1,2,0.5,0.5
"349",349,1,1,2,0.5,0.5
"350",350,1,1,2,0.5,0.5
"351",351,1,1,2,0.5,0.5
"352",352,1,1,2,0.5,0.5
"353",353,1,1,2,0.5,0.5
